locationID,lgaName,sa4,state,nationalRemotenessAreas
1,Wagga Wagga,Riverina,NSW,Inner Regional Australia
2,Hawkesbury,Sydney - Baulkham Hills and Hawkesbury,NSW,Inner Regional Australia
3,Northern Midlands,Launceston and North East,TAS,Inner Regional Australia
4,Armidale,New England and North West,NSW,Outer Regional Australia
5,Lockyer Valley,Toowoomba,QLD,Inner Regional Australia
6,Wakefield,Barossa - Yorke - Mid North,SA,Outer Regional Australia
7,Southern Downs,Darling Downs - Maranoa,QLD,Inner Regional Australia
8,Brighton,Hobart,TAS,Inner Regional Australia
9,West Tamar,Launceston and North East,TAS,Outer Regional Australia
10,Mid Murray,South Australia - South East,SA,Outer Regional Australia
11,Blue Mountains,Sydney - Outer West and Blue Mountains,NSW,Major Cities of Australia
12,Upper Lachlan,Capital Region,NSW,Inner Regional Australia
13,Wattle Range,South Australia - South East,SA,Outer Regional Australia
14,Cairns,Cairns,QLD,Outer Regional Australia
15,Wollongong,Illawarra,NSW,Major Cities of Australia
16,Penrith,Sydney - Outer West and Blue Mountains,NSW,Major Cities of Australia
17,Upper Hunter,Hunter Valley exc Newcastle,NSW,Outer Regional Australia
18,South Burnett,Wide Bay,QLD,Outer Regional Australia
19,Mid-Western,Central West,NSW,Outer Regional Australia
20,Canterbury-Bankstown,Sydney - Inner South West,NSW,Major Cities of Australia
21,Greater Hume,Murray,NSW,Outer Regional Australia
22,Southern Downs,Darling Downs - Maranoa,QLD,Outer Regional Australia
23,Barossa,Barossa - Yorke - Mid North,SA,Inner Regional Australia
24,Port Macquarie-Hastings,Mid North Coast,NSW,Inner Regional Australia
25,Mackay,Mackay - Isaac - Whitsunday,QLD,Outer Regional Australia
26,Douglas,Cairns,QLD,Outer Regional Australia
27,Yankalilla,South Australia - South East,SA,Inner Regional Australia
28,Logan,Logan - Beaudesert,QLD,Major Cities of Australia
29,Dorset,Launceston and North East,TAS,Outer Regional Australia
30,Armidale,New England and North West,NSW,Inner Regional Australia
31,Nambucca Valley,Mid North Coast,NSW,Inner Regional Australia
32,Narromine,Far West and Orana,NSW,Outer Regional Australia
33,Fraser Coast,Wide Bay,QLD,Inner Regional Australia
34,Unincorporated SA,South Australia - Outback,SA,Very Remote Australia
35,Shellharbour,Illawarra,NSW,Major Cities of Australia
36,Narrabri,New England and North West,NSW,Outer Regional Australia
37,Logan,Logan - Beaudesert,QLD,Inner Regional Australia
38,Cook,Queensland - Outback,QLD,Remote Australia
39,Tenterfield,New England and North West,NSW,Outer Regional Australia
40,Central Coast (NSW),Central Coast,NSW,Major Cities of Australia
41,Tamworth,New England and North West,NSW,Outer Regional Australia
42,Hilltops,Capital Region,NSW,Inner Regional Australia
43,Forbes,Central West,NSW,Outer Regional Australia
44,Toowoomba,Toowoomba,QLD,Inner Regional Australia
45,Lake Macquarie,Newcastle and Lake Macquarie,NSW,Major Cities of Australia
46,Livingstone,Central Queensland,QLD,Remote Australia
47,Blacktown,Sydney - Blacktown,NSW,Major Cities of Australia
48,Balranald,Murray,NSW,Outer Regional Australia
49,Lockhart River,Queensland - Outback,QLD,Very Remote Australia
50,Light,Barossa - Yorke - Mid North,SA,Inner Regional Australia
